source,scraped_at,title,description,price,price_raw,city,district,ward,address,property_size,property_size_raw,property_type,bedrooms,bathrooms,amenities,currency,listing_id,crawl_status,listing_url
batdongsan.com.vn,2026-04-24T14:09:36Z,"2 phòng ngủ góc 75m2 hướng view đường Phạm Hùng, bán trong tháng 4 chỉ từ 10,8 tỷ",N/A,"10,8 tỷ","10,8 tỷ",N/A,N/A,N/A,N/A,75 m2,75 m2,Apartment,2,N/A,,VND,45492256,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-dich-vong-hau-sun-feliza-suites/2-phong-ngu-goc-75m2-huong-view-uong-ban-trong-thang-4-chi-tu-10-8-ty-pr45492256
batdongsan.com.vn,2026-04-24T14:09:42Z,"Cần bán gấp sàn văn phòng Hancorp Plaza tiêu chuẩn B +, đa tiện ích",N/A,77 tỷ,77 tỷ,N/A,N/A,N/A,N/A,2 M2,2 M2,N/A,N/A,N/A,,VND,45537259,ok,https://batdongsan.com.vn/ban-loai-bat-dong-san-khac-duong-tran-dang-ninh-phuong-dich-vong-hancorp-plaza/can-ban-gap-van-phong-tieu-chuan-b-a-tien-ich-pr45537259
batdongsan.com.vn,2026-04-24T14:09:47Z,"Bán căn góc 2PN quỹ ngoại giao Sun Cầu Giấy cực vip, xem pháo hoa tại nhà, 75m2-nhận nhà với 3.3 tỷ",N/A,3.3 tỷ,3.3 tỷ,N/A,N/A,N/A,N/A,75 m2,75 m2,Apartment,N/A,2,,VND,45254952,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-dich-vong-hau-sun-feliza-suites/ban-goc-2pn-cuc-ep-cau-giay-view-thanh-pho-ngam-phao-hoa-tai-nha-75m2-11-2-ty-pr45254952
batdongsan.com.vn,2026-04-24T14:09:51Z,Bán nhà 3 mặt ngõ phố Xuân Thủy - Vị trí đắc địa - Sẵn dòng tiền đang cho thuê,N/A,"24,9 tỷ","24,9 tỷ",N/A,N/A,N/A,N/A,2 M2,2 M2,Private house,N/A,N/A,,VND,45517136,ok,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-thuy-phuong-dich-vong-7/ban-3-mat-ngo-pho-vi-tri-ac-ia-san-dong-tien-ang-cho-thue-pr45517136
batdongsan.com.vn,2026-04-24T14:09:55Z,"Chủ nhà tin tưởng gửi bán căn hộ chung cư FLC 265 Cầu Giấy, sổ sẵn, có slot xe. LH 0818 340 ***",N/A,10 tỷ,10 tỷ,N/A,N/A,N/A,N/A,2 M2,2 M2,Apartment,2,N/A,,VND,45092079,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-bamboo-airways-tower/chu-nha-tin-tuong-gui-ban-flc-265-so-san-co-slot-xe-lh-pr45092079
batdongsan.com.vn,2026-04-24T14:09:59Z,"Cực hot CHDV Nguyễn Ngọc Vũ Dt70tr/th,16 phòngkk,70m2*6t,mt 6m,full PCCC,TM,3 thoáng,ngõ sinh viên",N/A,14 tỷ,14 tỷ,N/A,N/A,N/A,N/A,70 m2,70 m2,Private house,N/A,N/A,,VND,45622860,ok,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-ngoc-vu-phuong-trung-hoa-4-7/cuc-hot-chdv-dt70tr-th-16-phongkk-70m2-6t-mt-6m-full-pccc-tm-3-thoang-ngo-sinh-vien-pr45622860
batdongsan.com.vn,2026-04-24T14:10:04Z,Mặt đường kinh doanh -khu phân lô Xuân Thuỷ -Cầu Giấy 46m * 5 tầng-mặt tiền 4.6m -đường oto 16.5 tỷ,N/A,16.5 tỷ,16.5 tỷ,N/A,N/A,N/A,N/A,2 M2,2 M2,Townhouse,N/A,N/A,,VND,45622341,ok,https://batdongsan.com.vn/ban-nha-mat-pho-duong-xuan-thuy-phuong-nghia-do-1-7/uong-kinh-doanh-khu-phan-lo-cau-giay-46m-5-tang-tien-4-6m-uong-oto-16-5-ty-pr45622341
batdongsan.com.vn,2026-04-24T14:10:08Z,"Cần bán nhà phố Mai dịch Cầu giấy 54.6 m2, ô tô vào nhà, kinh doanh văn phòng nhỉnh 14 tỷ",N/A,14 tỷ,14 tỷ,N/A,N/A,N/A,N/A,54.6 m2,54.6 m2,Private house,N/A,N/A,,VND,45621658,ok,https://batdongsan.com.vn/ban-nha-rieng-pho-mai-dich-phuong-mai-dich-7/can-ban-cau-giay-54-6-m2-o-to-vao-kinh-doanh-van-phong-nhinh-14-ty-pr45621658
batdongsan.com.vn,2026-04-24T14:10:13Z,"Bán NR đẹp, 49,5 tỷ, 90m2, 8 tầng tại nguyễn Thị định ,Yên Hòa, Cầu Giấy, Hà Nội - hàng hiếm",N/A,"49,5 tỷ","49,5 tỷ",N/A,N/A,N/A,N/A,90 m2,90 m2,Private house,N/A,N/A,,VND,45620330,ok,https://batdongsan.com.vn/ban-nha-rieng-phuong-yen-hoa-2/ban-nr-ep-49-5-ty-90m2-8-tang-tai-nguyen-thi-inh-cau-giay-ha-noi-hang-hiem-pr45620330
batdongsan.com.vn,2026-04-24T14:10:17Z,Thăng Long N01. Căn 108m2 - 8.65 tỷ/ căn 112m2 - 8.95 tỷ/ căn 117m2 - 9.55 tỷ/ căn 162m2 - 12.95 tỷ,N/A,8.65 tỷ,8.65 tỷ,N/A,N/A,N/A,N/A,108 m2,108 m2,Apartment,N/A,N/A,,VND,45619524,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-trung-hoa-4-thang-long-number-one/n01-108m2-8-65-ty-112m2-8-95-ty-117m2-9-55-ty-162m2-12-95-ty-pr45619524
batdongsan.com.vn,2026-04-24T14:10:22Z,"Căn góc 2PN giá 10,8 tỷ, diện tích 75,3m2, tầng cao, view ngã tư Phạm Hùng, toà Sun Feliza Cầu Giấy",N/A,"10,8 tỷ","10,8 tỷ",N/A,N/A,N/A,N/A,"75,3 m2","75,3 m2",Apartment,N/A,N/A,,VND,45418026,ok,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-thuy-phuong-dich-vong-hau-sun-feliza-suites/goc-2pn-gia-11-1-ty-dien-tich-75-3m2-tang-cao-view-nga-tu-pham-hung-toa-cau-giay-pr45418026
